source,target,weight
businessinsider.com,businessinsider.com,1
businessinsider.com,businessinsider.com,1
apnews.com,msn.com,1
apnews.com,washingtonpost.com,0.922326644
apnews.com,washingtonpost.com,0.922326644
businessinsider.com,insider.com,1
businessinsider.com,businessinsider.com,1
businessinsider.com,businessinsider.com,1
yahoo.com,yahoo.com,0.964035673
washingtonpost.com,startribune.com,1
foxnews.com,washingtonpost.com,0.9087135
insider.com,businessinsider.com,1
msn.com,pbs.org,0.925101952
